mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_keeptoptaxa__n,param_reduce_dim__n_components,param_selectfeatures__Zc,param_selectfeatures__abundance,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score
4.545612812042236,0.8842919426282306,0.074969482421875,0.012550130567293693,500,100,family,family,"{'keeptoptaxa__n': 500, 'reduce_dim__n_components': np.int64(100), 'selectfeatures__Zc': 'family', 'selectfeatures__abundance': 'family'}",-73.49946747387106,-84.56242168438506,-79.90975867275263,-81.94444252221358,-74.45211843404434,-78.87364175745333,4.273106373257035,27
5.441878843307495,0.22368541369440784,0.08970775604248046,0.011555620760088021,500,105,family,family,"{'keeptoptaxa__n': 500, 'reduce_dim__n_components': np.int64(105), 'selectfeatures__Zc': 'family', 'selectfeatures__abundance': 'family'}",-72.00893793871033,-85.26588826204966,-80.21218648662602,-80.35723575190842,-75.80530829001246,-78.72991134586138,4.500868919182242,22
5.0956943988800045,0.5051956686888824,0.07395339012145996,0.011794024710042308,500,110,family,family,"{'keeptoptaxa__n': 500, 'reduce_dim__n_components': np.int64(110), 'selectfeatures__Zc': 'family', 'selectfeatures__abundance': 'family'}",-69.53353722013657,-82.66412475011565,-77.20280197739669,-81.06289542970426,-78.75899300636534,-77.84447047674371,4.558662698833725,4
5.074479818344116,0.7776419055894191,0.07432880401611328,0.010807263201423258,500,115,family,family,"{'keeptoptaxa__n': 500, 'reduce_dim__n_components': np.int64(115), 'selectfeatures__Zc': 'family', 'selectfeatures__abundance': 'family'}",-74.39720715627486,-81.74486740506646,-78.46868390959317,-82.88529735482432,-74.94513731931453,-78.48823862901466,3.4418089491436192,16
5.216360664367675,0.8019849780222105,0.07887740135192871,0.012227466796198733,500,120,family,family,"{'keeptoptaxa__n': 500, 'reduce_dim__n_components': np.int64(120), 'selectfeatures__Zc': 'family', 'selectfeatures__abundance': 'family'}",-72.0869293240154,-86.49206197995393,-79.6795989191347,-79.71996086560291,-75.66311680632552,-78.72833357900649,4.809730001741642,21
6.120470952987671,0.2994179976622133,0.07771458625793456,0.011394813747890956,500,125,family,family,"{'keeptoptaxa__n': 500, 'reduce_dim__n_components': np.int64(125), 'selectfeatures__Zc': 'family', 'selectfeatures__abundance': 'family'}",-73.73649274131778,-83.99863977144133,-80.21798424381777,-81.93344697079444,-74.6482171692123,-78.90695617931672,4.041639098657592,28
6.377843999862671,0.4703808005198534,0.08814959526062012,0.006431474627541095,500,130,family,family,"{'keeptoptaxa__n': 500, 'reduce_dim__n_components': np.int64(130), 'selectfeatures__Zc': 'family', 'selectfeatures__abundance': 'family'}",-71.25733403481571,-84.49941234704492,-77.03979298636071,-83.06021139087517,-75.53284572072609,-78.27791929596451,4.897638136219374,10
6.857143306732178,0.11879919552221122,0.0851531982421875,0.009786770348206068,500,135,family,family,"{'keeptoptaxa__n': 500, 'reduce_dim__n_components': np.int64(135), 'selectfeatures__Zc': 'family', 'selectfeatures__abundance': 'family'}",-73.36873364047965,-82.70001590083254,-81.62121815968551,-78.41745344427649,-74.60150277811105,-78.14178478467704,3.6952817116002223,8
6.525644683837891,0.5643705625948764,0.08362865447998047,0.011169543015982743,500,140,family,family,"{'keeptoptaxa__n': 500, 'reduce_dim__n_components': np.int64(140), 'selectfeatures__Zc': 'family', 'selectfeatures__abundance': 'family'}",-72.3050410245661,-85.37436885262309,-78.77798338930934,-78.6969315810922,-73.55607212489252,-77.74207939449664,4.6329412958641925,3
6.492378759384155,0.5800743112038301,0.07762079238891602,0.010679363601633669,500,145,family,family,"{'keeptoptaxa__n': 500, 'reduce_dim__n_components': np.int64(145), 'selectfeatures__Zc': 'family', 'selectfeatures__abundance': 'family'}",-70.22203545365556,-81.4760655079541,-81.24488096110092,-82.29438687996279,-73.43845352349274,-77.73516446523323,4.939793355622292,2
